entity_id,name,tier,county,website,email,phone,notes
sd-alachua-county-health-facilities-authority,Alachua County Health Facilities Authority,special_district,Alachua,http://Duebytheendofthefirstfullfiscalyearaftercreation.,clhpalaw@aol.com,(352) 376-5226,purpose=Health Facilities; dependent; lga=Alachua County
sd-alachua-county-housing-authority,Alachua County Housing Authority,special_district,Alachua,https://www.acha-fl.com,amanda@acha-fl.com,(352) 372-2549,purpose=Housing Authority; dependent; lga=Alachua County
sd-alachua-county-housing-finance-authority,Alachua County Housing Finance Authority,special_district,Alachua,https://www.alachuacounty.us,housing@alachuacounty.us,(352) 337-6240,purpose=Housing Finance; dependent; lga=Alachua County
sd-alachua-county-library-district,Alachua County Library District,special_district,Alachua,https://www.aclib.us,slivingston@aclib.us,(352) 334-3910,purpose=Library - Local; independent; lga=Alachua County
sd-alachua-soil-and-water-conservation-district,Alachua Soil and Water Conservation District,special_district,Alachua,https://alachuasoilandwater.org,district3aswcd@gmail.com,(352) 376-7414,purpose=Soil and Water Conservation; independent; lga=Alachua County
sd-alafia-preserve-community-development-district,Alafia Preserve Community Development District,special_district,Polk,https://alafiapreservecdd.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=City of Mulberry
sd-alligator-point-water-resources-district,Alligator Point Water Resources District,special_district,Franklin,https://www.alligatorpointwater.com,pointwater@fairpoint.net,(850) 349-2274,purpose=Water and/or Wastewater Systems; independent; lga=Franklin County
sd-almarante-fire-district,Almarante Fire District,special_district,Okaloosa,https://www.almarantefiredistrict.com,smoneypenny@almarantevfd.com,(619) 851-8050,purpose=Fire Control and Rescue; independent; lga=Okaloosa County
sd-alta-lakes-community-development-district,Alta Lakes Community Development District,special_district,Duval,https://altalakescdd.org,brizzetta@rizzetta.com,(813) 514-0400,purpose=Community Development; independent; lga=City of Jacksonville
sd-altamonte-springs-health-facilities-authority,Altamonte Springs Health Facilities Authority,special_district,Seminole,https://www.altamonte.org,aapperson@altamonte.org,(407) 571-8122,purpose=Health Facilities; dependent; lga=City of Altamonte Springs
sd-alva-fire-protection-and-rescue-service-district,Alva Fire Protection and Rescue Service District,special_district,Lee,https://www.alvafirecontrol.org,jetcheverry@alvafirecontrol.org,(239) 728-2223,purpose=Fire Control and Rescue; independent; lga=Lee County
sd-amelia-concourse-community-development-district,Amelia Concourse Community Development District,special_district,Nassau,https://www.ameliaconcoursecdd.com,dlaughlin@gmsnf.com,(904) 940-5850,purpose=Community Development; independent; lga=Nassau County
sd-amelia-island-mosquito-control-district,Amelia Island Mosquito Control District,special_district,Nassau,https://www.aimcd.org,brimdaniels@bellsouth.net,(904) 261-5283,purpose=Mosquito Control; independent; lga=Nassau County
sd-amelia-national-community-development-district,Amelia National Community Development District,special_district,Nassau,https://amelianationalcdd.com,katie.buchanan@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=Nassau County
sd-amelia-walk-community-development-district,Amelia Walk Community Development District,special_district,Nassau,https://www.ameliawalkcdd.com,dlaughlin@gmsnf.com,(904) 940-5850,purpose=Community Development; independent; lga=Nassau County
sd-anabelle-island-community-development-district,Anabelle Island Community Development District,special_district,Clay,http://Duebytheendofthefirstfullfiscalyearaftercreation.,mgiles@gmsnf.com,(904) 940-5850,purpose=Community Development; independent; lga=Clay County
sd-anabelle-sandridge-community-development-district,Anabelle Sandridge Community Development District,special_district,Clay,http://Duebytheendofthefirstfullfiscalyearaftercreation.,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=Clay County
sd-anastasia-mosquito-control-district-of-st-johns-county,Anastasia Mosquito Control District of St. Johns County,special_district,St. Johns,https://www.amcdsjc.org,xueamcd@gmail.com,(904) 471-3107,purpose=Mosquito Control; independent; lga=St. Johns County
sd-anastasia-sanitary-district,Anastasia Sanitary District,special_district,St. Johns,https://www.sjcfl.us/SpecialDistricts/Anastasia.aspx,nshinkre@sjcfl.us,(904) 209-2721,purpose=Water and/or Wastewater Systems; dependent; lga=St. Johns County
sd-angeline-community-development-district,Angeline Community Development District,special_district,Pasco,http://Duebytheendofthefirstfullfiscalyearaftercreation.,jvericker@srvlegal.com,(813) 223-9400,purpose=Community Development; independent; lga=Pasco County
sd-anthem-park-community-development-district,Anthem Park Community Development District,special_district,Osceola,https://anthemparkcdd.org,lindsay@cddlawyers.com,(877) 350-0372,purpose=Community Development; independent; lga=City of St. Cloud
sd-antillia-community-development-district,Antillia Community Development District,special_district,Miami-Dade,https://AntilliaCDD.org,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-apalachicola-housing-authority,Apalachicola Housing Authority,special_district,Franklin,https://www.apalachicolahousingauthority.com,apalhousing@gmail.com,(850) 653-9304,purpose=Housing Authority; dependent; lga=City of Apalachicola
sd-apopka-community-redevelopment-agency,Apopka Community Redevelopment Agency,special_district,Orange,https://www.apopka.net/284/Community-Redevelopment,bhowell@apopka.net,(407) 703-1703,purpose=Community Redevelopment; dependent; lga=City of Apopka
sd-aqua-one-community-development-district,Aqua One Community Development District,special_district,Manatee,https://www.aquaonecdd.org,ripollv@pfm.com,(407) 723-5900,purpose=Community Development; independent; lga=Manatee County
sd-arbor-greene-community-development-district,Arbor Greene Community Development District,special_district,Hillsborough,https://arborgreene.com,khopkinson@srvlegal.com,(813) 544-1344,purpose=Community Development; independent; lga=City of Tampa
sd-arbor-park-phase-1-community-development-district,Arbor Park Phase 1 Community Development District,special_district,Lake,http://Duebytheendofthefirstfullfiscalyearaftercreation.,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=City of Fruitland Park
sd-arbors-community-development-district,Arbors Community Development District,special_district,Duval,https://arborscdd.net,katie.buchanan@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=City of Jacksonville
sd-arborwood-community-development-district,Arborwood Community Development District,special_district,Lee,https://www.arborwoodcdd.org,twodraska@sdsinc.org,(239) 444-5790,purpose=Community Development; independent; lga=City of Fort Myers
sd-area-housing-commission,Area Housing Commission,special_district,Escambia,https://areahousing.org,execdir@areahousing.org,,purpose=Housing Authority; independent; lga=Escambia County
sd-area-housing-commission-of-clewiston-labelle-and-hendry-county,"Area Housing Commission of Clewiston, LaBelle and Hendry County",special_district,Hendry,http://Duebytheendofthefirstfullfiscalyearaftercreation.,areahousingcommission@gmail.com,(863) 234-8397,"purpose=Housing Authority; independent; lga=Hendry County, City of Clewiston and City of LaBelle"
sd-argyle-fire-district,Argyle Fire District,special_district,Walton,https://www.ArgyleFireDistrictFL.gov,srichardson@argylefiredistrictfl.gov,(850) 892-4702,purpose=Fire Control and Rescue; independent; lga=Walton County
sd-arlington-ridge-community-development-district,Arlington Ridge Community Development District,special_district,Lake,https://www.arlingtonridgecdd.org,angel.montagna@inframark.com,(407) 566-1935,purpose=Community Development; independent; lga=City of Leesburg
sd-arlington-special-dependent-district,Arlington Special Dependent District,special_district,Hillsborough,https://Arlington.mydistrictwebsite.com,lmendelsohn4312@gmail.com,(813) 585-1659,purpose=Neighborhood Enhancement; dependent; lga=Hillsborough County
sd-armstrong-community-development-district,Armstrong Community Development District,special_district,Clay,https://www.ArmstrongCDD.com,katie.buchanan@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=Clay County
sd-artisan-lakes-community-development-district,Artisan Lakes Community Development District,special_district,Manatee,https://artisanlakescdd.org,wardj@pfm.com,(407) 723-5900,purpose=Community Development; independent; lga=Manatee County
sd-artisan-lakes-east-community-development-district,Artisan Lakes East Community Development District,special_district,Manatee,https://www.ArtisanLakesEastCDD.org,wardj@pfm.com,(407) 723-5900,purpose=Community Development; independent; lga=Manatee County
sd-astonia-community-development-district,Astonia Community Development District,special_district,Polk,https://astoniacdd.com,jburns@gmscfl.com,(407) 841-5524,purpose=Community Development; independent; lga=Polk County
sd-asturia-community-development-district,Asturia Community Development District,special_district,Pasco,https://asturiacdd.org,lindsay@cddlawyers.com,(877) 350-0372,purpose=Community Development; independent; lga=Pasco County
sd-atlantis-safe-neighborhood-improvement-district,Atlantis Safe Neighborhood Improvement District,special_district,Palm Beach,https://www.atlantisfl.gov,bmoree@atlantisfl.gov,(561) 965-1744,purpose=Neighborhood Improvement - Local Gov.; dependent; lga=City of Atlantis
sd-auburn-lakes-community-development-district,Auburn Lakes Community Development District,special_district,Polk,https://www.auburnlakescdd.com,jburns@gmscfl.com,(407) 841-5524,purpose=Community Development; independent; lga=City of Auburndale
sd-auburndale-community-redevelopment-agency,Auburndale Community Redevelopment Agency,special_district,Polk,https://auburndalefl.com,apalmer@auburndalefl.com,(863) 965-5530,purpose=Community Redevelopment; dependent; lga=City of Auburndale
sd-aucilla-area-solid-waste-administration,Aucilla Area Solid Waste Administration,special_district,"Dixie, Jefferson, Madison, Taylor",https://aucillalandfill.com,auclf@aol.com,(850) 948-4875,purpose=Solid Waste Disposal; independent; lga=Multi
sd-aurora-oaks-community-development-district,Aurora Oaks Community Development District,special_district,Marion,https://AuroraOaksCDD.com,brian.lamb@inframark.com,(813) 873-7300,purpose=Community Development; independent; lga=Marion County
sd-avalon-beach-mulat-fire-protection-district,Avalon Beach / Mulat Fire Protection District,special_district,Santa Rosa,https://www.AvalonFireRescue.com,rodneyj@bellsouth.net,(850) 994-1149,purpose=Fire Control and Rescue; independent; lga=Santa Rosa County
sd-avalon-groves-community-development-district,Avalon Groves Community Development District,special_district,Lake,https://avalongrovescdd.org,bennett.davenport@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=Lake County
sd-avalon-park-west-community-development-district,Avalon Park West Community Development District,special_district,Pasco,https://www.avalonparkwestcdd.org/,jere.earlywine@kutakrock.com,(850) 528-6152,purpose=Community Development; independent; lga=Pasco County
sd-ave-maria-stewardship-community-district,Ave Maria Stewardship Community District,special_district,Collier,https://www.avemariastewardshipcd.org,alyssa.willson@kutakrock.com,(850) 692-7300,purpose=Infrastructure Development; independent; lga=Collier County
sd-avelar-creek-community-development-district,Avelar Creek Community Development District,special_district,Hillsborough,https://www.avelarcreekcdd.org,edailey@halifax-solutions.com,(813) 575-1955,purpose=Community Development; independent; lga=Hillsborough County
sd-avenir-community-development-district,Avenir Community Development District,special_district,Palm Beach,https://www.avenircdd.org,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=City of Palm Beach Gardens
sd-aventura-isles-community-development-district,Aventura Isles Community Development District,special_district,Miami-Dade,https://www.aventuraislescdd.net,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-aviary-at-rutland-ranch-community-development-district,Aviary at Rutland Ranch Community Development District,special_district,Manatee,https://www.AviaryCDD.org,jere.earlywine@kutakrock.com,(850) 528-6152,purpose=Community Development; independent; lga=Manatee County
sd-avon-park-community-redevelopment-agency,Avon Park Community Redevelopment Agency,special_district,Highlands,https://avonpark.city/bc-cb,jatkinson@avonpark.city,(863) 449-9280,purpose=Community Redevelopment; dependent; lga=City of Avon Park
sd-avon-park-housing-authority,Avon Park Housing Authority,special_district,Highlands,https://www.avonparkha.org,marias@avonparkha.org,(863) 452-4432,purpose=Housing Authority; dependent; lga=City of Avon Park
sd-babcock-ranch-community-independent-special-district,Babcock Ranch Community Independent Special District,special_district,"Lee, Charlotte",https://babcockranchliving.com,alyssa.willson@kutakrock.com,(850) 692-7300,purpose=Infrastructure Development; independent; lga=Charlotte and Lee Counties
sd-bahia-lakes-community-development-district,Bahia Lakes Community Development District,special_district,Hillsborough,https://bahialakescdd.org,brizzetta@rizzetta.com,(813) 514-0400,purpose=Community Development; independent; lga=Hillsborough County
sd-bahia-mar-community-development-district,Bahia Mar Community Development District,special_district,Broward,http://Duebytheendofthefirstfullfiscalyearaftercreation.,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=City of Fort Lauderdale
sd-bainebridge-community-development-district,Bainebridge Community Development District,special_district,Duval,https://bainebridgecdd.org,brizzetta@rizzetta.com,(813) 514-0400,purpose=Community Development; independent; lga=City of Jacksonville
sd-baker-county-development-commission,Baker County Development Commission,special_district,Baker,https://www.choosebakercountyfl.com,danmasterson1@aol.com,(904) 259-6433,purpose=County Development; independent; lga=Baker County
sd-baker-county-hospital-district,Baker County Hospital District,special_district,Baker,https://bakercountyflhospitalauth.com,drgeorgeweeks@gmail.com,(904) 259-6433,purpose=Hospital; independent; lga=Baker County
sd-baker-fire-district,Baker Fire District,special_district,Okaloosa,https://www.bakerfiredistrict.com,ladyjrl55@gmail.com,(850) 537-3402,purpose=Fire Control and Rescue; independent; lga=Okaloosa County
sd-ballantrae-community-development-district,Ballantrae Community Development District,special_district,Pasco,https://www.Ballantraecdd.org,vbabbar@srvlegal.com,(813) 223-9400,purpose=Community Development; independent; lga=Pasco County
sd-ballentrae-hillsborough-community-development-district,Ballentrae Hillsborough Community Development District,special_district,Hillsborough,https://ballentraehillsboroughcdd.org,jgreenwood@gms-tampa.com,,purpose=Community Development; independent; lga=Hillsborough County
sd-balm-grove-community-development-district,Balm Grove Community Development District,special_district,Hillsborough,https://www.BalmGroveCDD.com,brian.lamb@inframark.com,(813) 873-7300,purpose=Community Development; independent; lga=Hillsborough County
sd-bannon-lakes-community-development-district,Bannon Lakes Community Development District,special_district,St. Johns,https://www.bannonlakescdd.com,wesley.haber@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=St. Johns County
sd-banyan-cay-community-development-district,Banyan Cay Community Development District,special_district,Palm Beach,https://www.banyancaycdd.org,twodraska@sdsinc.org,(561) 630-4922,purpose=Community Development; independent; lga=City of West Palm Beach
sd-barefoot-bay-recreation-district,Barefoot Bay Recreation District,special_district,Brevard,https://www.bbrd.org,wvose@voselaw.com,(407) 645-3735,purpose=Mobile Home Park Recreation; independent; lga=Brevard County
sd-barefoot-bay-water-and-sewer-district,Barefoot Bay Water and Sewer District,special_district,Brevard,https://www.brevardcounty.us/SpecialDistricts/BarefootBayWaterSewerDistrict,edward.fontanin@brevardfl.gov,(321) 633-2091,purpose=County Water and Sewer; dependent; lga=Brevard County
sd-barron-water-control-district,Barron Water Control District,special_district,"Glades, Hendry",https://bwcd.mydistrictwebsite.com,judikk@bwcd.net,(863) 675-0346,purpose=Drainage and/or Water Control; independent; lga=Multi
sd-bartow-community-redevelopment-agency,Bartow Community Redevelopment Agency,special_district,Polk,https://www.cityofbartow.net/index.aspx?page=275,chsmith@cityofbartow.net,(863) 534-0121,purpose=Community Redevelopment; dependent; lga=City of Bartow
sd-bartow-municipal-airport-development-authority,Bartow Municipal Airport Development Authority,special_district,Polk,https://www.bartow-airport.com,john@bartow-airport.com,(863) 533-1195,purpose=Airports / Air Navigation Facilities; dependent; lga=City of Bartow
sd-bartram-park-community-development-district,Bartram Park Community Development District,special_district,Duval,https://bartramparkcdd.com,wesley.haber@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=City of Jacksonville
sd-bartram-springs-community-development-district,Bartram Springs Community Development District,special_district,Duval,https://BartramSpringsCDD.com,wesley.haber@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=City of Jacksonville
sd-bauer-drive-community-development-district,Bauer Drive Community Development District,special_district,Miami-Dade,https://BauerDriveCDD.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-bay-county-law-library,Bay County Law Library,special_district,Bay,https://www.baycountyfl.gov/575/bay-county-law-library,jivy@baycountyfl.gov,(850) 522-2121,purpose=Library - Law; dependent; lga=Bay County
sd-bay-creek-community-development-district,Bay Creek Community Development District,special_district,Lee,https://www.pelicanlandingcdds.net,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=Lee County and City of Bonita Springs
sd-bay-crest-park-special-district,Bay Crest Park Special District,special_district,Hillsborough,https://BayCrest.mydistrictwebsite.com,burnsidebaycrestspecial@gmail.com,(813) 892-0474,purpose=Neighborhood Enhancement; dependent; lga=Hillsborough County
sd-bay-laurel-center-community-development-district,Bay Laurel Center Community Development District,special_district,Marion,https://www.blccdd.com,gflint@gmscfl.com,(407) 841-5524,purpose=Community Development; independent; lga=Marion County
sd-bay-medical-center,Bay Medical Center,special_district,Bay,https://www.bayhealthfoundation.com,kthomason@bayhealthfoundation.com,(850) 818-0565,"purpose=Health Care, Hospital; independent; lga=Bay County"
sd-bayi-community-development-district,Bayi Community Development District,special_district,Marion,http://Duebytheendofthefirstfullfiscalyearaftercreation.,twodraska@sdsinc.org,(561) 630-4922,purpose=Community Development; independent; lga=City of Ocala
sd-baymeadows-community-improvement-district,Baymeadows Community Improvement District,special_district,Duval,https://bcidjax.org,brizzetta@rizzetta.com,(813) 514-0400,purpose=Municipal-Type Services and Improvements; dependent; lga=City of Jacksonville
sd-bayshore-fire-protection-and-rescue-service-district,Bayshore Fire Protection and Rescue Service District,special_district,Lee,https://www.bayshorefire.org,dunderwood@bayshorefire.org,(239) 543-3443,purpose=Fire Control and Rescue; independent; lga=Lee County
sd-bayshore-gardens-park-and-recreation-district,Bayshore Gardens Park and Recreation District,special_district,Manatee,https://www.bayshoregardens.org,office@bayshoregardens.org,(941) 755-1912,purpose=Recreational Facilities / Programs; independent; lga=Manatee County
sd-bayside-improvement-community-development-district,Bayside Improvement Community Development District,special_district,Lee,https://www.pelicanlandingcdds.net,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=Lee County and City of Bonita Springs
sd-baytree-community-development-district,Baytree Community Development District,special_district,Brevard,https://www.baytreecdd.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Brevard County
sd-baywinds-community-development-district,Baywinds Community Development District,special_district,Miami-Dade,https://www.baywindscdd.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-beach-community-development-district,Beach Community Development District,special_district,Duval,https://beachcdd.com,wesley.haber@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=City of Jacksonville
sd-beach-mosquito-control-district,Beach Mosquito Control District,special_district,Bay,https://pcbeachmosquito.org,james@pcbeachmosquito.com,(850) 233-5030,purpose=Mosquito Control; independent; lga=Bay County
sd-beach-road-golf-estates-community-development-district,Beach Road Golf Estates Community Development District,special_district,Lee,https://www.beachroadgolfestatescdd.net,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=City of Bonita Springs
sd-beacon-lakes-community-development-district,Beacon Lakes Community Development District,special_district,Miami-Dade,https://Beaconlakescdd.org,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-beacon-meadows-special-dependent-tax-district,Beacon Meadows Special Dependent Tax District,special_district,Hillsborough,https://www.beaconmeadows.org,registeredagent@beaconmeadows.org,(813) 563-2811,purpose=Neighborhood Enhancement; dependent; lga=Hillsborough County
sd-beacon-tradeport-community-development-district,Beacon Tradeport Community Development District,special_district,Miami-Dade,https://www.beacontradeportcdd.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-beaumont-community-development-district,Beaumont Community Development District,special_district,Sumter,https://www.beaumontcdd.net,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=City of Wildwood
sd-beeline-community-development-district,Beeline Community Development District,special_district,Palm Beach,https://www.beelinecdd.org,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Palm Beach County
sd-bella-collina-community-development-district,Bella Collina Community Development District,special_district,Lake,https://www.bellacollinacdd.com,jcarpenter@lathamluna.com,(407) 481-5800,purpose=Community Development; independent; lga=Lake County
sd-bella-tara-community-development-district,Bella Tara Community Development District,special_district,Osceola,https://BellaTaraCDD.com,gflint@gmscfl.com,(407) 841-5524,purpose=Community Development; independent; lga=Osceola County
sd-bella-vida-community-development-district,Bella Vida Community Development District,special_district,Lee,https://bellavidacdd.org,brizzetta@rizzetta.com,(813) 514-0400,purpose=Community Development; independent; lga=City of Cape Coral
sd-bellagio-community-development-district,Bellagio Community Development District,special_district,Miami-Dade,https://www.bellagiocdd.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=City of Hialeah
sd-bellalago-educational-facilities-benefit-district,Bellalago Educational Facilities Benefit District,special_district,Osceola,https://www.osceolaschools.net/page/1179,brenda.riveraosorio@osceolaschools.net,(407) 870-4924,purpose=Educational Facilities Benefit; dependent; lga=Osceola County
sd-bellaviva-at-westside-community-development-district,Bellaviva at Westside Community Development District,special_district,Osceola,https://bellavivacdd.net,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=Osceola County
sd-bellaviva-at-whispering-hills-community-development-district,Bellaviva at Whispering Hills Community Development District,special_district,Lake,https://bellavivaatwhisperinghillscdd.net,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=City of Leesburg
sd-bellaviva-community-development-district,Bellaviva Community Development District,special_district,Polk,https://www.bellavivacdd.com,jburns@gmscfl.com,(407) 841-5524,purpose=Community Development; independent; lga=City of Haines City
sd-bellehaven-community-development-district,Bellehaven Community Development District,special_district,Marion,http://Duebytheendofthefirstfullfiscalyearaftercreation.,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=City of Belleview
sd-belmond-reserve-community-development-district,Belmond Reserve Community Development District,special_district,Hillsborough,https://belmondreservecdd.com,brian.lamb@inframark.com,(813) 873-7300,purpose=Community Development; independent; lga=Hillsborough County
sd-belmont-community-development-district,Belmont Community Development District,special_district,Hillsborough,https://www.belmontcdd.com,lindsay.whelan@kutakrock.com,(850) 692-7300,purpose=Community Development; independent; lga=Hillsborough County
sd-belmont-lakes-community-development-district,Belmont Lakes Community Development District,special_district,Broward,https://www.Belmontlakescdd.org,wardj@pfm.com,(407) 723-5900,purpose=Community Development; independent; lga=Town of Davie
sd-bent-creek-community-development-district,Bent Creek Community Development District,special_district,St. Lucie,https://BentCreekCDD.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=City of Fort Pierce
sd-benton-hills-community-development-district,Benton Hills Community Development District,special_district,Hernando,https://bentonhillscdd.net,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=Hernando County
sd-bermont-drainage-district,Bermont Drainage District,special_district,Charlotte,https://BermontDD.org,bermontdd@gmail.com,(941) 661-2461,purpose=Drainage and/or Water Control; independent; lga=Charlotte County
sd-berry-bay-community-development-district,Berry Bay Community Development District,special_district,Hillsborough,https://berrybaycdd.com,brian.lamb@inframark.com,(813) 873-7300,purpose=Community Development; independent; lga=Hillsborough County
sd-berry-bay-ii-community-development-district,Berry Bay II Community Development District,special_district,Hillsborough,https://BerryBay2CDD.com,brian.lamb@inframark.com,(813) 873-7300,purpose=Community Development; independent; lga=Hillsborough County
sd-berry-bay-iii-community-development-district,Berry Bay III Community Development District,special_district,Hillsborough,http://Duebytheendofthefirstfullfiscalyearaftercreation.,brian.lamb@inframark.com,(813) 873-7300,purpose=Community Development; independent; lga=Hillsborough County
sd-bexley-community-development-district,Bexley Community Development District,special_district,Pasco,https://bexleycdd.org,brizzetta@rizzetta.com,(813) 514-0400,purpose=Community Development; independent; lga=Pasco County
sd-big-bend-water-authority,Big Bend Water Authority,special_district,"Dixie, Taylor",https://bigbendwaterauthority.com,bbwa@bellsouth.net,(352) 498-3576,purpose=Water and/or Wastewater Systems; independent; lga=Dixie and Taylor Counties
sd-big-cypress-stewardship-district,Big Cypress Stewardship District,special_district,Collier,https://www.bigcypressstewardship.com,mullinsl@pfm.com,(407) 723-5900,"purpose=Drainage and/or Water Control, Infrastructure Development; independent; lga=Collier County"
sd-biscayne-drive-estates-community-development-district,Biscayne Drive Estates Community Development District,special_district,Miami-Dade,https://BiscayneDriveEstatesCDD.com,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-black-creek-community-development-district,Black Creek Community Development District,special_district,Miami-Dade,https://www.blackcreekcdd.org,mpawelczyk@bclmr.com,(954) 764-7150,purpose=Community Development; independent; lga=Miami-Dade County
sd-blackburn-creek-community-development-district,Blackburn Creek Community Development District,special_district,Sarasota,https://blackburncreekcdd.com,lanea@pfm.com,(407) 723-5900,purpose=Community Development; independent; lga=Sarasota County
sd-blackman-fire-district,Blackman Fire District,special_district,Okaloosa,https://www.blackmanfiredistrict.com,jimlawson.bfdc@gmail.com,(850) 537-3473,purpose=Fire Control and Rescue; independent; lga=Okaloosa County
sd-blackwater-soil-and-water-conservation-district,Blackwater Soil and Water Conservation District,special_district,Santa Rosa,https://www.santarosa.fl.gov/blackwaterswcd,levib@santarosa.fl.gov,(850) 675-6696,purpose=Soil and Water Conservation; dependent; lga=Santa Rosa County
sd-blackwell-community-development-district,Blackwell Community Development District,special_district,Pasco,http://Duebytheendofthefirstfullfiscalyearaftercreation.,wrathellc@whhassociates.com,(561) 571-0010,purpose=Community Development; independent; lga=Pasco County
sd-bloomingdale-oaks-special-dependent-tax-district,Bloomingdale Oaks Special Dependent Tax District,special_district,Hillsborough,https://BloomingdaleOaks.mydistrictwebsite.com,wgrace9521@aol.com,(813) 685-2817,purpose=Neighborhood Enhancement; dependent; lga=Hillsborough County
sd-bloomingdale-special-taxing-district,Bloomingdale Special Taxing District,special_district,Hillsborough,https://Bloomingdale.mydistrictwebsite.com,bstd@verizon.net,(813) 684-6667,purpose=Neighborhood Enhancement; dependent; lga=Hillsborough County
sd-blue-lake-community-development-district,Blue Lake Community Development District,special_district,Lee,http://Duebytheendofthefirstfullfiscalyearaftercreation.,twodraska@sdsinc.org,(561) 630-4922,purpose=Community Development; independent; lga=Lee County
