source_id,entity_id,name,tier,county,platform,portal_url,api_url,adapter,docs_anon,live_fetch,confidence,notes
mfmp-vip,,MyFloridaMarketPlace Vendor Information Portal (all State of Florida agencies),state,statewide,mfmp_vip,https://vendor.myfloridamarketplace.com/search/bids,https://vendor.myfloridamarketplace.com/mfmp/pub/search/bids,vip,yes,true,verified,Single statewide feed covering all executive-branch state agencies (129 MFMP-registered orgs in vip_orgs.json)
og-clermontfl,mun-city-of-clermont,City of Clermont,municipality,lake,opengov,https://procurement.opengov.com/portal/clermontfl,https://api.procurement.opengov.com/api/v1/government/clermontfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=clermontfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 417 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-coopercity,mun-city-of-cooper-city,"City of Cooper City, FL",municipality,broward,opengov,https://procurement.opengov.com/portal/coopercity,https://api.procurement.opengov.com/api/v1/government/coopercity/project/public,opengov,yes,true,verified,"OpenGov tenant code=coopercity. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 16 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-coralsprings,mun-city-of-coral-springs,City of Coral Springs,municipality,broward,opengov,https://procurement.opengov.com/portal/coralsprings,https://api.procurement.opengov.com/api/v1/government/coralsprings/project/public,opengov,yes,true,verified,"OpenGov tenant code=coralsprings. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 37 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-daniabeachfl,mun-city-of-dania-beach,City of Dania Beach,municipality,broward,opengov,https://procurement.opengov.com/portal/daniabeachfl,https://api.procurement.opengov.com/api/v1/government/daniabeachfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=daniabeachfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 73 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-codb,mun-city-of-daytona-beach,City of Daytona Beach,municipality,volusia,opengov,https://procurement.opengov.com/portal/codb,https://api.procurement.opengov.com/api/v1/government/codb/project/public,opengov,yes,true,verified,"OpenGov tenant code=codb. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 200 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-edgewater,mun-city-of-edgewater,"City of Edgewater, Florida",municipality,volusia,opengov,https://procurement.opengov.com/portal/edgewater,https://api.procurement.opengov.com/api/v1/government/edgewater/project/public,opengov,yes,true,verified,"OpenGov tenant code=edgewater. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 61 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-cityftmyers,mun-city-of-fort-myers,City of Fort Myers,municipality,lee,opengov,https://procurement.opengov.com/portal/cityftmyers,https://api.procurement.opengov.com/api/v1/government/cityftmyers/project/public,opengov,yes,true,verified,"OpenGov tenant code=cityftmyers. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 248 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-cityofgainesville,mun-city-of-gainesville,"City of Gainesville, FL",municipality,alachua,opengov,https://procurement.opengov.com/portal/cityofgainesville,https://api.procurement.opengov.com/api/v1/government/cityofgainesville/project/public,opengov,yes,true,verified,"OpenGov tenant code=cityofgainesville. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 37 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-greencovesprings,mun-city-of-green-cove-springs,City of Green Cove Springs,municipality,clay,opengov,https://procurement.opengov.com/portal/greencovesprings,https://api.procurement.opengov.com/api/v1/government/greencovesprings/project/public,opengov,yes,true,verified,"OpenGov tenant code=greencovesprings. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 18 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-groveland,mun-city-of-groveland,City of Groveland,municipality,lake,opengov,https://procurement.opengov.com/portal/groveland,https://api.procurement.opengov.com/api/v1/government/groveland/project/public,opengov,yes,true,verified,"OpenGov tenant code=groveland. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 48 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-hainesfl,mun-city-of-haines-city,City of Haines,municipality,polk,opengov,https://procurement.opengov.com/portal/hainesfl,https://api.procurement.opengov.com/api/v1/government/hainesfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=hainesfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 0 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-cityofhialeahfl,mun-city-of-hialeah,"City of Hialeah, FL",municipality,miami-dade,opengov,https://procurement.opengov.com/portal/cityofhialeahfl,https://api.procurement.opengov.com/api/v1/government/cityofhialeahfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=cityofhialeahfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 185 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-hollywoodfl,mun-city-of-hollywood,City of Hollywood,municipality,broward,opengov,https://procurement.opengov.com/portal/hollywoodfl,https://api.procurement.opengov.com/api/v1/government/hollywoodfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=hollywoodfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 358 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-cityofhomestead,mun-city-of-homestead,City of Homestead,municipality,miami-dade,opengov,https://procurement.opengov.com/portal/cityofhomestead,https://api.procurement.opengov.com/api/v1/government/cityofhomestead/project/public,opengov,yes,true,verified,"OpenGov tenant code=cityofhomestead. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 242 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-jacksonvillebeachfl,mun-city-of-jacksonville-beach,"City of Jacksonville Beach, FL",municipality,duval,opengov,https://procurement.opengov.com/portal/jacksonvillebeachfl,https://api.procurement.opengov.com/api/v1/government/jacksonvillebeachfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=jacksonvillebeachfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 0 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-lcfla,mun-city-of-lake-city,City of Lake City,municipality,columbia,opengov,https://procurement.opengov.com/portal/lcfla,https://api.procurement.opengov.com/api/v1/government/lcfla/project/public,opengov,yes,true,verified,"OpenGov tenant code=lcfla. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 119 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-lakelandgov,mun-city-of-lakeland,City of Lakeland,municipality,polk,opengov,https://procurement.opengov.com/portal/lakelandgov,https://api.procurement.opengov.com/api/v1/government/lakelandgov/project/public,opengov,yes,true,verified,"OpenGov tenant code=lakelandgov. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 318 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-lauderdalelakes,mun-city-of-lauderdale-lakes,City of Lauderdale Lakes,municipality,broward,opengov,https://procurement.opengov.com/portal/lauderdalelakes,https://api.procurement.opengov.com/api/v1/government/lauderdalelakes/project/public,opengov,yes,true,verified,"OpenGov tenant code=lauderdalelakes. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 22 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-leesburgflorida,mun-city-of-leesburg,City of Leesburg,municipality,lake,opengov,https://procurement.opengov.com/portal/leesburgflorida,https://api.procurement.opengov.com/api/v1/government/leesburgflorida/project/public,opengov,yes,true,verified,"OpenGov tenant code=leesburgflorida. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 22 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-naplesgov,mun-city-of-naples,City of Naples,municipality,collier,opengov,https://procurement.opengov.com/portal/naplesgov,https://api.procurement.opengov.com/api/v1/government/naplesgov/project/public,opengov,yes,true,verified,"OpenGov tenant code=naplesgov. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 175 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-cityofnsb,mun-city-of-new-smyrna-beach,City of New Smyrna Beach,municipality,volusia,opengov,https://procurement.opengov.com/portal/cityofnsb,https://api.procurement.opengov.com/api/v1/government/cityofnsb/project/public,opengov,yes,true,verified,"OpenGov tenant code=cityofnsb. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 142 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-citynmb,mun-city-of-north-miami-beach,City of North Miami Beach,municipality,miami-dade,opengov,https://procurement.opengov.com/portal/citynmb,https://api.procurement.opengov.com/api/v1/government/citynmb/project/public,opengov,yes,true,verified,"OpenGov tenant code=citynmb. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 42 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-northmiamifl,mun-city-of-north-miami,"City of North Miami, FL",municipality,miami-dade,opengov,https://procurement.opengov.com/portal/northmiamifl,https://api.procurement.opengov.com/api/v1/government/northmiamifl/project/public,opengov,yes,true,verified,"OpenGov tenant code=northmiamifl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 0 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-ocoeefl,mun-city-of-ocoee,"City of Ocoee, FL",municipality,orange,opengov,https://procurement.opengov.com/portal/ocoeefl,https://api.procurement.opengov.com/api/v1/government/ocoeefl/project/public,opengov,yes,true,verified,"OpenGov tenant code=ocoeefl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 0 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-orlando,mun-city-of-orlando,City of Orlando,municipality,orange,opengov,https://procurement.opengov.com/portal/orlando,https://api.procurement.opengov.com/api/v1/government/orlando/project/public,opengov,yes,true,verified,"OpenGov tenant code=orlando. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 501 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-pbgfl,mun-city-of-palm-beach-gardens,City of Palm Beach Gardens,municipality,palm-beach,opengov,https://procurement.opengov.com/portal/pbgfl,https://api.procurement.opengov.com/api/v1/government/pbgfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=pbgfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 14 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-pembrokepines,mun-city-of-pembroke-pines,City of Pembroke Pines,municipality,broward,opengov,https://procurement.opengov.com/portal/pembrokepines,https://api.procurement.opengov.com/api/v1/government/pembrokepines/project/public,opengov,yes,true,verified,"OpenGov tenant code=pembrokepines. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 158 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-plantcitygov,mun-city-of-plant-city,City of Plant City,municipality,hillsborough,opengov,https://procurement.opengov.com/portal/plantcitygov,https://api.procurement.opengov.com/api/v1/government/plantcitygov/project/public,opengov,yes,true,verified,"OpenGov tenant code=plantcitygov. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 53 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-copbfl,mun-city-of-pompano-beach,"City of Pompano Beach, FL",municipality,broward,opengov,https://procurement.opengov.com/portal/copbfl,https://api.procurement.opengov.com/api/v1/government/copbfl/project/public,opengov,yes,true,verified,"OpenGov tenant code=copbfl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 1 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
og-portorangefl,mun-city-of-port-orange,City of Port Orange,municipality,volusia,opengov,https://procurement.opengov.com/portal/portorangefl,https://api.procurement.opengov.com/api/v1/government/portorangefl/project/public,opengov,yes,true,verified,"OpenGov tenant code=portorangefl. VERIFIED 2026-08-06: POST {""limit"":100,""page"":0,""sortField"":""releaseProjectDate"",""sortDirection"":""DESC""} to api_url returns HTTP 200 with 2 total projects. Detail: GET https://api.procurement.opengov.com/api/v1/project/{id} returns presigned S3 attachment URLs (bid packets download anonymously). Send Content-Type: application/json + browser UA + Origin: https://procurement.opengov.com. Do NOT scrape procurement.opengov.com/portal/* - Cloudflare-challenged; use the API host."
